Year,sample_date,date,race,name,place,time_m,time_s,avg_yr_time_s,supershoe_era,frac_year,gender,elevation_gain_m,elevation_loss_m,net_elevation_m,temp_at_start_c,wind_direction,wind_mph,rainy_y_or_n,"stack data, code supershoe_era, weather variables, elevation",
2016,1-Jan,24-Apr,London,Feyese Tadese,7,2:25:03,8703,,0,2016.31,1,127,161,-34,7,SSE,11,N,,
2017,1-Jan,23-Apr,London,Mary Keitany,1,2:17:01,8221,8558,1,2017.31,1,127,161,-34,12,NNE,7,N,,
2017,1-Jan,23-Apr,London,Tirunesh Dibaba,2,2:17:56,8276,,1,2017.31,1,127,161,-34,12,NNE,7,N,,
2017,1-Jan,23-Apr,London,Aselefech Mergia,3,2:23:08,8588,,1,2017.31,1,127,161,-34,12,NNE,7,N,,
2017,1-Jan,23-Apr,London,Vivian Cheruiyot,4,2:23:50,8630,,1,2017.31,1,127,161,-34,12,NNE,7,N,,
2017,1-Jan,23-Apr,London,Lisa Weightman,5,2:25:15,8715,,1,2017.31,1,127,161,-34,12,NNE,7,N,,
2017,1-Jan,23-Apr,London,Laura Thweat,6,2:25:38,8738,,1,2017.31,1,127,161,-34,12,NNE,7,N,,
2017,1-Jan,23-Apr,London,Helah Kiprop,7,2:25:39,8739,,1,2017.31,1,127,161,-34,12,NNE,7,N,,
2018,1-Jan,22-Apr,London,Vivian Cheruiyot,1,2:18:31,8311,8596,1,2018.31,1,127,161,-34,19,NE,12,N,,
2018,1-Jan,22-Apr,London,Bridig Kosgei,2,2:20:13,8413,,1,2018.31,1,127,161,-34,19,NE,12,N,,
2018,1-Jan,22-Apr,London,Tadelech Bekele,3,2:21:40,8500,,1,2018.31,1,127,161,-34,19,NE,12,N,,
2018,1-Jan,22-Apr,London,Gladys Cherono,4,2:24:10,8650,,1,2018.31,1,127,161,-34,19,NE,12,N,,
2018,1-Jan,22-Apr,London,Mary Keitany,5,2:24:27,8667,,1,2018.31,1,127,161,-34,19,NE,12,N,,
2018,1-Jan,22-Apr,London,Rose Chelimo,6,2:26:03,8763,,1,2018.31,1,127,161,-34,19,NE,12,N,,
2018,1-Jan,22-Apr,London,Mare Dibaba,7,2:27:45,8865,,1,2018.31,1,127,161,-34,19,NE,12,N,,
2019,1-Jan,28-Apr,London,Brigid Kosgei,1,2:18:20,8300,8473,1,2019.33,1,127,161,-34,11,SE,12,N,,
2019,1-Jan,28-Apr,London,Vivian Cheruiyot,2,2:20:14,8414,,1,2019.33,1,127,161,-34,11,SE,12,N,,
2019,1-Jan,28-Apr,London,Roza Dereje,3,2:20:51,8451,,1,2019.33,1,127,161,-34,11,SE,12,N,,
2019,1-Jan,28-Apr,London,Gladys Cherono,4,2:20:52,8452,,1,2019.33,1,127,161,-34,11,SE,12,N,,
2019,1-Jan,28-Apr,London,Mary Keitany,5,2:20:58,8458,,1,2019.33,1,127,161,-34,11,SE,12,N,,
2019,1-Jan,28-Apr,London,Emily Sisson,6,2:23:08,8588,,1,2019.33,1,127,161,-34,11,SE,12,N,,
2019,1-Jan,28-Apr,London,Sinead Diver,7,2:24:11,8651,,1,2019.33,1,127,161,-34,11,SE,12,N,,
2020,1-Jan,4-Oct,London,Brigid Kosgei,1,2:18:58,8338,8592,1,2020.76,1,127,161,-34,10,NE,15,N,,
2020,1-Jan,4-Oct,London,Sara Hall,2,2:22:01,8521,,1,2020.76,1,127,161,-34,10,NE,15,N,,
2020,1-Jan,4-Oct,London,Ruth Chepengetich,3,2:22:05,8525,,1,2020.76,1,127,161,-34,10,NE,15,N,,
2020,1-Jan,4-Oct,London,Ashete Bekere,4,2:22:51,8571,,1,2020.76,1,127,161,-34,10,NE,15,N,,
2020,1-Jan,4-Oct,London,Alemu Megertu,5,2:24:23,8663,,1,2020.76,1,127,161,-34,10,NE,15,N,,
2020,1-Jan,4-Oct,London,Molly Seidel,6,2:25:13,8713,,1,2020.76,1,127,161,-34,10,NE,15,N,,
2020,1-Jan,4-Oct,London,Gerda Steyn,7,2:26:51,8811,,1,2020.76,1,127,161,-34,10,NE,15,N,,
2021,1-Jan,3-Oct,London,Joyciline Jepkosgei,1,2:17:43,8263,8344,1,2021.76,1,127,161,-34,12,NE,6,N,,
2021,1-Jan,3-Oct,London,Degitu Azimeraw,2,2:17:58,8278,,1,2021.76,1,127,161,-34,12,NE,6,N,,
2021,1-Jan,3-Oct,London,Ashete Bekere,3,2:18:18,8298,,1,2021.76,1,127,161,-34,12,NE,6,N,,
2021,1-Jan,3-Oct,London,Brigid Kosgei,4,2:18:40,8320,,1,2021.76,1,127,161,-34,12,NE,6,N,,
2021,1-Jan,3-Oct,London,Lonah Salpeter,5,2:18:54,8334,,1,2021.76,1,127,161,-34,12,NE,6,N,,
2021,1-Jan,3-Oct,London,Valary Jemeli,6,2:20:35,8435,,1,2021.76,1,127,161,-34,12,NE,6,N,,
2021,1-Jan,3-Oct,London,Joan Chelimo Melly,7,2:21:23,8483,,1,2021.76,1,127,161,-34,12,NE,6,N,,
2022,1-Jan,2-Oct,London,Yalemzerf Yehualaw,1,2:17:26,8246,8332,1,2022.75,1,127,161,-34,14,ESE,7,Y,,
2022,1-Jan,2-Oct,London,Joyciline Jepkosgei,2,2:18:07,8287,,1,2022.75,1,127,161,-34,14,ESE,7,Y,,
2022,1-Jan,2-Oct,London,Alemu Megertu,3,2:18:32,8312,,1,2022.75,1,127,161,-34,14,ESE,7,Y,,
2022,1-Jan,2-Oct,London,Judith Jeptum Korir,4,2:18:43,8323,,1,2022.75,1,127,161,-34,14,ESE,7,Y,,
2022,1-Jan,2-Oct,London,Joan Chelimo Melly,5,2:19:27,8367,,1,2022.75,1,127,161,-34,14,ESE,7,Y,,
2022,1-Jan,2-Oct,London,Ashete Bekere,6,2:19:30,8370,,1,2022.75,1,127,161,-34,14,ESE,7,Y,,
